Date,Employee Name,Crew Name,Role,Service Name,Jobs,Hours,Revenue,Total Daily Hours
2025-12-24,Jared Turner,Crew #2,,Window Cleaning (Commercial),1,4.5,1084.87,10
2025-12-24,Tyler Thompson,Crew #2,,Window Cleaning (Commercial),1,4.5,1084.87,10
2025-12-24,Jared Turner,Crew #2,,Holiday Lighting Installation,1,5.1,1400,10
2025-12-24,Tyler Thompson,Crew #2,,Holiday Lighting Installation,1,5.1,1400,10
2025-12-25,Jared Turner,Crew #2,,Window Cleaning (Commercial),1,4.8,1119.07,10
2025-12-25,Tyler Thompson,Crew #2,,Window Cleaning (Commercial),1,4.8,1119.07,10
2025-12-25,Jared Turner,Crew #2,,Holiday Lighting Installation,1,5.2,1470.74,10
2025-12-25,Tyler Thompson,Crew #2,,Holiday Lighting Installation,1,5.2,1470.74,10
2025-12-25,Jared Turner,Crew #2,,Holiday Lighting Installation,1,5.1,1358.06,10
2025-12-25,Tyler Thompson,Crew #2,,Holiday Lighting Installation,1,5.1,1358.06,10
2025-12-25,Jared Turner,Crew #2,,Window Cleaning (Commercial),1,5,1200,10
2025-12-25,Tyler Thompson,Crew #2,,Window Cleaning (Commercial),1,5,1200,10
2025-12-26,Jared Turner,Crew #2,,Window Cleaning (Commercial),1,4.8,1149.8,10
2025-12-26,Tyler Thompson,Crew #2,,Window Cleaning (Commercial),1,4.8,1149.8,10
2025-12-26,Jared Turner,Crew #2,,Holiday Lighting Installation,1,5.3,1472.43,10
2025-12-26,Tyler Thompson,Crew #2,,Holiday Lighting Installation,1,5.3,1472.43,10
2025-12-26,Jared Turner,Crew #2,,Holiday Lighting Installation,1,5.2,1375.31,10
2025-12-26,Tyler Thompson,Crew #2,,Holiday Lighting Installation,1,5.2,1375.31,10
2025-12-26,Jared Turner,Crew #2,,Holiday Lighting Installation,1,5.2,1400,10
2025-12-26,Tyler Thompson,Crew #2,,Holiday Lighting Installation,1,5.2,1400,10
2025-12-29,Jared Turner,Crew #2,,Holiday Lighting Installation,1,5,1360.57,10
2025-12-29,Tyler Thompson,Crew #2,,Holiday Lighting Installation,1,5,1360.57,10
2025-12-29,Jared Turner,Crew #2,,Window Cleaning (Commercial),1,4.7,1205.25,10
2025-12-29,Tyler Thompson,Crew #2,,Window Cleaning (Commercial),1,4.7,1205.25,10
2025-12-29,Jared Turner,Crew #2,,Window Cleaning (Residential),1,2.3,302.99,10
2025-12-29,Tyler Thompson,Crew #2,,Window Cleaning (Residential),1,2.3,302.99,10
2025-12-29,Jared Turner,Crew #2,,Holiday Lighting Installation,1,5.2,1400,10
2025-12-29,Tyler Thompson,Crew #2,,Holiday Lighting Installation,1,5.2,1400,10
2025-12-30,Jared Turner,Crew #2,,Holiday Lighting Installation,1,5.4,1501.79,10
2025-12-30,Tyler Thompson,Crew #2,,Holiday Lighting Installation,1,5.4,1501.79,10
2025-12-30,Jared Turner,Crew #2,,Holiday Lighting Installation,1,5.5,1512.81,10
2025-12-30,Tyler Thompson,Crew #2,,Holiday Lighting Installation,1,5.5,1512.81,10
2025-12-30,Jared Turner,Crew #2,,Holiday Lighting Installation,1,5.1,1510.85,10
2025-12-30,Tyler Thompson,Crew #2,,Holiday Lighting Installation,1,5.1,1510.85,10
2025-12-30,Jared Turner,Crew #2,,Holiday Lighting Installation,1,5.4,1400,10
2025-12-30,Tyler Thompson,Crew #2,,Holiday Lighting Installation,1,5.4,1400,10
2025-12-31,Jared Turner,Crew #2,,Holiday Lighting Installation,1,5.4,1497.81,10
2025-12-31,Tyler Thompson,Crew #2,,Holiday Lighting Installation,1,5.4,1497.81,10
2025-12-31,Jared Turner,Crew #2,,Window Cleaning (Commercial),1,5,1204.34,10
2025-12-31,Tyler Thompson,Crew #2,,Window Cleaning (Commercial),1,5,1204.34,10
2025-12-31,Jared Turner,Crew #2,,Window Cleaning (Commercial),1,5,1234.76,10
2025-12-31,Tyler Thompson,Crew #2,,Window Cleaning (Commercial),1,5,1234.76,10
2025-12-31,Jared Turner,Crew #2,,Window Cleaning (Commercial),1,4.6,1200,10
2025-12-31,Tyler Thompson,Crew #2,,Window Cleaning (Commercial),1,4.6,1200,10
